PLMNID,LAC/TAC,Cell ID/ECI,Technology,,
310410,26003,10308,GSM/UMTS,6593,2844
310410,26501,10308,GSM/UMTS,6785,2844
310410,26003,10309,GSM/UMTS,6593,2845
310410,26008,10421,GSM/UMTS,6598,28B5
310410,26522,10421,GSM/UMTS,679A,28B5
310410,26008,10422,GSM/UMTS,6598,28B6
310410,26522,10422,GSM/UMTS,679A,28B6
310410,26008,10423,GSM/UMTS,6598,28B7
310410,26522,10423,GSM/UMTS,679A,28B7
310410,26522,10424,GSM/UMTS,679A,28B8
310410,26522,10425,GSM/UMTS,679A,28B9
310410,26522,10426,GSM/UMTS,679A,28BA
310410,26008,10427,GSM/UMTS,6598,28BB
310410,26522,10427,GSM/UMTS,679A,28BB
310410,26008,10428,GSM/UMTS,6598,28BC
310410,26522,10428,GSM/UMTS,679A,28BC
310410,26008,10429,GSM/UMTS,6598,28BD
310410,26522,10429,GSM/UMTS,679A,28BD
310410,26003,10561,GSM/UMTS,6593,2941
310410,26501,10561,GSM/UMTS,6785,2941
310410,26003,10562,GSM/UMTS,6593,2942
310410,26501,10562,GSM/UMTS,6785,2942
310410,26003,10563,GSM/UMTS,6593,2943
310410,26501,10563,GSM/UMTS,6785,2943
310410,26501,10564,GSM/UMTS,6785,2944
310410,26501,10565,GSM/UMTS,6785,2945
310410,26501,10566,GSM/UMTS,6785,2946
310410,26003,10567,GSM/UMTS,6593,2947
310410,26501,10567,GSM/UMTS,6785,2947
310410,26003,10568,GSM/UMTS,6593,2948
310410,26501,10568,GSM/UMTS,6785,2948
310410,26003,10569,GSM/UMTS,6593,2949
310410,26501,10569,GSM/UMTS,6785,2949
310410,26109,10631,GSM/UMTS,65FD,2987
310410,26513,10631,GSM/UMTS,6791,2987
310410,26109,10632,GSM/UMTS,65FD,2988
310410,26513,10632,GSM/UMTS,6791,2988
310410,26109,10633,GSM/UMTS,65FD,2989
310410,26513,10633,GSM/UMTS,6791,2989
310410,26109,10637,GSM/UMTS,65FD,298D
310410,26513,10637,GSM/UMTS,6791,298D
310410,26109,10638,GSM/UMTS,65FD,298E
310410,26513,10638,GSM/UMTS,6791,298E
310410,26109,10639,GSM/UMTS,65FD,298F
310410,26513,10639,GSM/UMTS,6791,298F
310410,23006,10657,GSM/UMTS,59DE,29A1
310410,26003,10661,GSM/UMTS,6593,29A5
310410,26517,10661,GSM/UMTS,6795,29A5
310410,26003,10662,GSM/UMTS,6593,29A6
310410,26517,10662,GSM/UMTS,6795,29A6
310410,26003,10663,GSM/UMTS,6593,29A7
310410,26517,10663,GSM/UMTS,6795,29A7
310410,26517,10664,GSM/UMTS,6795,29A8
310410,26517,10665,GSM/UMTS,6795,29A9
310410,26517,10666,GSM/UMTS,6795,29AA
310410,26003,10667,GSM/UMTS,6593,29AB
310410,26517,10667,GSM/UMTS,6795,29AB
310410,26003,10668,GSM/UMTS,6593,29AC
310410,26517,10668,GSM/UMTS,6795,29AC
310410,26003,10669,GSM/UMTS,6593,29AD
310410,26517,10669,GSM/UMTS,6795,29AD
310410,26010,10681,GSM/UMTS,659A,29B9
310410,26520,10681,GSM/UMTS,6798,29B9
310410,26010,10682,GSM/UMTS,659A,29BA
310410,26520,10682,GSM/UMTS,6798,29BA
310410,26010,10683,GSM/UMTS,659A,29BB
310410,26520,10683,GSM/UMTS,6798,29BB
310410,26520,10684,GSM/UMTS,6798,29BC
310410,26520,10685,GSM/UMTS,6798,29BD
310410,26520,10686,GSM/UMTS,6798,29BE
310410,26010,10687,GSM/UMTS,659A,29BF
310410,26520,10687,GSM/UMTS,6798,29BF
310410,26010,10688,GSM/UMTS,659A,29C0
310410,26520,10688,GSM/UMTS,6798,29C0
310410,26010,10689,GSM/UMTS,659A,29C1
310410,26520,10689,GSM/UMTS,6798,29C1
310410,42984,1071,GSM/UMTS,A7E8,42F
310410,42984,1072,GSM/UMTS,A7E8,430
310410,42984,1073,GSM/UMTS,A7E8,431
310410,26010,10741,GSM/UMTS,659A,29F5
310410,26520,10741,GSM/UMTS,6798,29F5
310410,26010,10742,GSM/UMTS,659A,29F6
310410,26520,10742,GSM/UMTS,6798,29F6
310410,26010,10743,GSM/UMTS,659A,29F7
310410,26520,10743,GSM/UMTS,6798,29F7
310410,26520,10744,GSM/UMTS,6798,29F8
310410,26520,10745,GSM/UMTS,6798,29F9
310410,26520,10746,GSM/UMTS,6798,29FA
310410,26010,10747,GSM/UMTS,659A,29FB
310410,26520,10747,GSM/UMTS,6798,29FB
310410,26010,10748,GSM/UMTS,659A,29FC
310410,26520,10748,GSM/UMTS,6798,29FC
310410,26010,10749,GSM/UMTS,659A,29FD
310410,26520,10749,GSM/UMTS,6798,29FD
310410,37131,107552015,LTE,910B,6691D0F
310410,37131,107552271,LTE,910B,6691E0F
310410,37131,107552272,LTE,910B,6691E10
310410,37131,107552273,LTE,910B,6691E11
310410,37131,107554063,LTE,910B,669250F
310410,37131,107554064,LTE,910B,6692510
310410,37131,107554065,LTE,910B,6692511
310410,37131,107554831,LTE,910B,669280F
310410,26010,10761,GSM/UMTS,659A,2A09
310410,26520,10761,GSM/UMTS,6798,2A09
310410,26010,10762,GSM/UMTS,659A,2A0A
310410,26520,10762,GSM/UMTS,6798,2A0A
310410,26010,10763,GSM/UMTS,659A,2A0B
310410,26520,10763,GSM/UMTS,6798,2A0B
310410,26520,10764,GSM/UMTS,6798,2A0C
310410,26520,10765,GSM/UMTS,6798,2A0D
310410,26520,10766,GSM/UMTS,6798,2A0E
310410,26010,10767,GSM/UMTS,659A,2A0F
310410,26520,10767,GSM/UMTS,6798,2A0F
310410,26010,10768,GSM/UMTS,659A,2A10
310410,26520,10768,GSM/UMTS,6798,2A10
310410,26010,10769,GSM/UMTS,659A,2A11
310410,26520,10769,GSM/UMTS,6798,2A11
310410,23997,1077,GSM/UMTS,5DBD,435
310410,42984,1077,GSM/UMTS,A7E8,435
310410,37126,107729423,LTE,9106,66BD20F
310410,37126,107729424,LTE,9106,66BD210
310410,37126,107729425,LTE,9106,66BD211
310410,37126,107729935,LTE,9106,66BD40F
310410,37126,107729936,LTE,9106,66BD410
310410,37126,107729937,LTE,9106,66BD411
310410,37126,107734031,LTE,9106,66BE40F
310410,37126,107734032,LTE,9106,66BE410
310410,37126,107734033,LTE,9106,66BE411
310410,23997,1078,GSM/UMTS,5DBD,436
310410,42984,1078,GSM/UMTS,A7E8,436
310410,26010,10781,GSM/UMTS,659A,2A1D
310410,26520,10781,GSM/UMTS,6798,2A1D
310410,26010,10782,GSM/UMTS,659A,2A1E
310410,26520,10782,GSM/UMTS,6798,2A1E
310410,26010,10783,GSM/UMTS,659A,2A1F
310410,26520,10783,GSM/UMTS,6798,2A1F
310410,26520,10784,GSM/UMTS,6798,2A20
310410,26520,10785,GSM/UMTS,6798,2A21
310410,26520,10786,GSM/UMTS,6798,2A22
310410,26010,10787,GSM/UMTS,659A,2A23
310410,26520,10787,GSM/UMTS,6798,2A23
310410,26010,10788,GSM/UMTS,659A,2A24
310410,26520,10788,GSM/UMTS,6798,2A24
310410,26010,10789,GSM/UMTS,659A,2A25
310410,26520,10789,GSM/UMTS,6798,2A25
310410,23997,1079,GSM/UMTS,5DBD,437
310410,26003,10831,GSM/UMTS,6593,2A4F
310410,26501,10831,GSM/UMTS,6785,2A4F
310410,26003,10832,GSM/UMTS,6593,2A50
310410,26501,10832,GSM/UMTS,6785,2A50
310410,26003,10833,GSM/UMTS,6593,2A51
310410,26501,10833,GSM/UMTS,6785,2A51
310410,26501,10834,GSM/UMTS,6785,2A52
310410,26501,10835,GSM/UMTS,6785,2A53
310410,26501,10836,GSM/UMTS,6785,2A54
310410,26003,10837,GSM/UMTS,6593,2A55
310410,26501,10837,GSM/UMTS,6785,2A55
310410,26003,10838,GSM/UMTS,6593,2A56
310410,26501,10838,GSM/UMTS,6785,2A56
310410,26003,10839,GSM/UMTS,6593,2A57
310410,26501,10839,GSM/UMTS,6785,2A57
310410,37131,108879631,LTE,910B,67D5F0F
310410,37131,108879632,LTE,910B,67D5F10
310410,37131,108879633,LTE,910B,67D5F11
310410,37131,109856274,LTE,910B,68C4612
310410,26010,11061,GSM/UMTS,659A,2B35
310410,26520,11061,GSM/UMTS,6798,2B35
310410,26010,11062,GSM/UMTS,659A,2B36
310410,26520,11062,GSM/UMTS,6798,2B36
310410,26010,11063,GSM/UMTS,659A,2B37
310410,26520,11063,GSM/UMTS,6798,2B37
310410,26520,11064,GSM/UMTS,6798,2B38
310410,26520,11065,GSM/UMTS,6798,2B39
310410,26520,11066,GSM/UMTS,6798,2B3A
310410,26010,11067,GSM/UMTS,659A,2B3B
310410,26520,11067,GSM/UMTS,6798,2B3B
310410,26010,11068,GSM/UMTS,659A,2B3C
310410,26520,11068,GSM/UMTS,6798,2B3C
310410,26010,11069,GSM/UMTS,659A,2B3D
310410,26520,11069,GSM/UMTS,6798,2B3D
310410,52042,111,GSM/UMTS,CB4A,6F
310410,26010,11151,GSM/UMTS,659A,2B8F
310410,26501,11151,GSM/UMTS,6785,2B8F
310410,26010,11152,GSM/UMTS,659A,2B90
310410,26501,11152,GSM/UMTS,6785,2B90
310410,26010,11153,GSM/UMTS,659A,2B91
310410,26501,11153,GSM/UMTS,6785,2B91
310410,26501,11154,GSM/UMTS,6785,2B92
310410,26501,11155,GSM/UMTS,6785,2B93
310410,26501,11156,GSM/UMTS,6785,2B94
310410,26010,11157,GSM/UMTS,659A,2B95
310410,26501,11157,GSM/UMTS,6785,2B95
310410,26010,11158,GSM/UMTS,659A,2B96
310410,26501,11158,GSM/UMTS,6785,2B96
310410,26010,11159,GSM/UMTS,659A,2B97
310410,26501,11159,GSM/UMTS,6785,2B97
310410,26010,11191,GSM/UMTS,659A,2BB7
310410,26520,11191,GSM/UMTS,6798,2BB7
310410,26010,11192,GSM/UMTS,659A,2BB8
310410,26520,11192,GSM/UMTS,6798,2BB8
310410,26010,11193,GSM/UMTS,659A,2BB9
310410,26520,11193,GSM/UMTS,6798,2BB9
310410,26520,11194,GSM/UMTS,6798,2BBA
310410,26520,11195,GSM/UMTS,6798,2BBB
310410,26520,11196,GSM/UMTS,6798,2BBC
310410,26010,11197,GSM/UMTS,659A,2BBD
310410,26520,11197,GSM/UMTS,6798,2BBD
310410,26010,11198,GSM/UMTS,659A,2BBE
310410,26520,11198,GSM/UMTS,6798,2BBE
310410,26010,11199,GSM/UMTS,659A,2BBF
310410,26520,11199,GSM/UMTS,6798,2BBF
310410,52042,112,GSM/UMTS,CB4A,70
310410,26003,11261,GSM/UMTS,6593,2BFD
310410,26501,11261,GSM/UMTS,6785,2BFD
310410,26003,11262,GSM/UMTS,6593,2BFE
310410,26501,11262,GSM/UMTS,6785,2BFE
310410,26003,11263,GSM/UMTS,6593,2BFF
310410,26501,11263,GSM/UMTS,6785,2BFF
310410,26501,11264,GSM/UMTS,6785,2C00
310410,26501,11265,GSM/UMTS,6785,2C01
310410,26501,11266,GSM/UMTS,6785,2C02
310410,26003,11267,GSM/UMTS,6593,2C03
310410,26501,11267,GSM/UMTS,6785,2C03
310410,26003,11268,GSM/UMTS,6593,2C04
310410,26003,11269,GSM/UMTS,6593,2C05
310410,52042,113,GSM/UMTS,CB4A,71
310410,42984,11341,GSM/UMTS,A7E8,2C4D
310410,42984,11342,GSM/UMTS,A7E8,2C4E
310410,42984,11343,GSM/UMTS,A7E8,2C4F
310410,26109,11391,GSM/UMTS,65FD,2C7F
310410,26521,11391,GSM/UMTS,6799,2C7F
310410,26109,11392,GSM/UMTS,65FD,2C80
310410,26521,11392,GSM/UMTS,6799,2C80
310410,26109,11393,GSM/UMTS,65FD,2C81
310410,26521,11393,GSM/UMTS,6799,2C81
310410,26521,11394,GSM/UMTS,6799,2C82
310410,26521,11395,GSM/UMTS,6799,2C83
310410,26521,11396,GSM/UMTS,6799,2C84
310410,26109,11397,GSM/UMTS,65FD,2C85
310410,26521,11397,GSM/UMTS,6799,2C85
310410,26109,11398,GSM/UMTS,65FD,2C86
310410,26521,11398,GSM/UMTS,6799,2C86
310410,26109,11399,GSM/UMTS,65FD,2C87
310410,26521,11399,GSM/UMTS,6799,2C87
310410,26010,11471,GSM/UMTS,659A,2CCF
310410,26520,11471,GSM/UMTS,6798,2CCF
310410,26010,11472,GSM/UMTS,659A,2CD0
310410,26520,11472,GSM/UMTS,6798,2CD0
310410,26010,11473,GSM/UMTS,659A,2CD1
310410,26520,11473,GSM/UMTS,6798,2CD1
310410,26520,11474,GSM/UMTS,6798,2CD2
310410,26520,11475,GSM/UMTS,6798,2CD3
310410,26520,11476,GSM/UMTS,6798,2CD4
310410,26010,11477,GSM/UMTS,659A,2CD5
310410,26520,11477,GSM/UMTS,6798,2CD5
310410,26010,11478,GSM/UMTS,659A,2CD6
310410,26520,11478,GSM/UMTS,6798,2CD6
310410,26010,11479,GSM/UMTS,659A,2CD7
310410,26520,11479,GSM/UMTS,6798,2CD7
310410,26010,11661,GSM/UMTS,659A,2D8D
310410,26520,11661,GSM/UMTS,6798,2D8D
310410,26010,11662,GSM/UMTS,659A,2D8E
310410,26520,11662,GSM/UMTS,6798,2D8E
310410,26010,11663,GSM/UMTS,659A,2D8F
310410,26520,11663,GSM/UMTS,6798,2D8F
310410,26520,11664,GSM/UMTS,6798,2D90
310410,26520,11665,GSM/UMTS,6798,2D91
310410,26520,11666,GSM/UMTS,6798,2D92
310410,26010,11667,GSM/UMTS,659A,2D93
310410,26520,11667,GSM/UMTS,6798,2D93
310410,26010,11668,GSM/UMTS,659A,2D94
310410,26520,11668,GSM/UMTS,6798,2D94
310410,26010,11669,GSM/UMTS,659A,2D95
310410,26520,11669,GSM/UMTS,6798,2D95
310410,26010,11731,GSM/UMTS,659A,2DD3
310410,26520,11731,GSM/UMTS,6798,2DD3
310410,26010,11732,GSM/UMTS,659A,2DD4
310410,26520,11732,GSM/UMTS,6798,2DD4
310410,26010,11733,GSM/UMTS,659A,2DD5
310410,26520,11733,GSM/UMTS,6798,2DD5
310410,26520,11734,GSM/UMTS,6798,2DD6
310410,26520,11735,GSM/UMTS,6798,2DD7
310410,26520,11736,GSM/UMTS,6798,2DD8
310410,26010,11737,GSM/UMTS,659A,2DD9
310410,26520,11737,GSM/UMTS,6798,2DD9
310410,26010,11738,GSM/UMTS,659A,2DDA
310410,26520,11738,GSM/UMTS,6798,2DDA
310410,26010,11739,GSM/UMTS,659A,2DDB
310410,26520,11739,GSM/UMTS,6798,2DDB
310410,26010,11761,GSM/UMTS,659A,2DF1
310410,26520,11761,GSM/UMTS,6798,2DF1
310410,26010,11762,GSM/UMTS,659A,2DF2
310410,26520,11762,GSM/UMTS,6798,2DF2
310410,26010,11763,GSM/UMTS,659A,2DF3
310410,26520,11763,GSM/UMTS,6798,2DF3
310410,26520,11764,GSM/UMTS,6798,2DF4
310410,26520,11765,GSM/UMTS,6798,2DF5
310410,26520,11766,GSM/UMTS,6798,2DF6
310410,26010,11767,GSM/UMTS,659A,2DF7
310410,26520,11767,GSM/UMTS,6798,2DF7
310410,26010,11768,GSM/UMTS,659A,2DF8
310410,26520,11768,GSM/UMTS,6798,2DF8
310410,26010,11769,GSM/UMTS,659A,2DF9
310410,26520,11769,GSM/UMTS,6798,2DF9
310410,26008,12071,GSM/UMTS,6598,2F27
310410,26522,12071,GSM/UMTS,679A,2F27
310410,26008,12072,GSM/UMTS,6598,2F28
310410,26522,12072,GSM/UMTS,679A,2F28
310410,26008,12073,GSM/UMTS,6598,2F29
310410,26522,12073,GSM/UMTS,679A,2F29
310410,26522,12074,GSM/UMTS,679A,2F2A
310410,26522,12075,GSM/UMTS,679A,2F2B
310410,26522,12076,GSM/UMTS,679A,2F2C
310410,26008,12077,GSM/UMTS,6598,2F2D
310410,26522,12077,GSM/UMTS,679A,2F2D
310410,26008,12078,GSM/UMTS,6598,2F2E
310410,26522,12078,GSM/UMTS,679A,2F2E
310410,26008,12079,GSM/UMTS,6598,2F2F
310410,26522,12079,GSM/UMTS,679A,2F2F
310410,26109,12101,GSM/UMTS,65FD,2F45
310410,26521,12101,GSM/UMTS,6799,2F45
310410,26109,12102,GSM/UMTS,65FD,2F46
310410,26521,12102,GSM/UMTS,6799,2F46
310410,26109,12103,GSM/UMTS,65FD,2F47
310410,26521,12103,GSM/UMTS,6799,2F47
310410,26521,12104,GSM/UMTS,6799,2F48
310410,26521,12105,GSM/UMTS,6799,2F49
310410,26521,12106,GSM/UMTS,6799,2F4A
310410,26109,12107,GSM/UMTS,65FD,2F4B
310410,26521,12107,GSM/UMTS,6799,2F4B
310410,26109,12108,GSM/UMTS,65FD,2F4C
310410,26521,12108,GSM/UMTS,6799,2F4C
310410,26109,12109,GSM/UMTS,65FD,2F4D
310410,26521,12109,GSM/UMTS,6799,2F4D
310410,26010,12141,GSM/UMTS,659A,2F6D
310410,26510,12141,GSM/UMTS,678E,2F6D
310410,26010,12142,GSM/UMTS,659A,2F6E
310410,26510,12142,GSM/UMTS,678E,2F6E
310410,26010,12143,GSM/UMTS,659A,2F6F
310410,26510,12143,GSM/UMTS,678E,2F6F
310410,26510,12144,GSM/UMTS,678E,2F70
310410,26510,12145,GSM/UMTS,678E,2F71
310410,26510,12146,GSM/UMTS,678E,2F72
310410,42984,1221,GSM/UMTS,A7E8,4C5
310410,42984,1222,GSM/UMTS,A7E8,4C6
310410,42984,1223,GSM/UMTS,A7E8,4C7
310410,42984,1227,GSM/UMTS,A7E8,4CB
310410,42984,1229,GSM/UMTS,A7E8,4CD
310410,42984,1241,GSM/UMTS,A7E8,4D9
310410,42984,1242,GSM/UMTS,A7E8,4DA
310410,42984,1243,GSM/UMTS,A7E8,4DB
310410,42984,1247,GSM/UMTS,A7E8,4DF
310410,42984,1248,GSM/UMTS,A7E8,4E0
310410,42984,1249,GSM/UMTS,A7E8,4E1
310410,42984,1251,GSM/UMTS,A7E8,4E3
310410,42984,1252,GSM/UMTS,A7E8,4E4
310410,42984,1253,GSM/UMTS,A7E8,4E5
310410,42984,1257,GSM/UMTS,A7E8,4E9
310410,42984,1258,GSM/UMTS,A7E8,4EA
310410,42984,1259,GSM/UMTS,A7E8,4EB
310410,42984,1261,GSM/UMTS,A7E8,4ED
310410,42984,1262,GSM/UMTS,A7E8,4EE
310410,42984,1263,GSM/UMTS,A7E8,4EF
310410,42984,1267,GSM/UMTS,A7E8,4F3
310410,42984,1268,GSM/UMTS,A7E8,4F4
310410,42984,1269,GSM/UMTS,A7E8,4F5
310410,42984,1271,GSM/UMTS,A7E8,4F7
310410,26109,12711,GSM/UMTS,65FD,31A7
310410,42984,1272,GSM/UMTS,A7E8,4F8
310410,42984,1273,GSM/UMTS,A7E8,4F9
310410,42984,1291,GSM/UMTS,A7E8,50B
310410,42984,1292,GSM/UMTS,A7E8,50C
310410,42984,1293,GSM/UMTS,A7E8,50D
310410,42984,1297,GSM/UMTS,A7E8,511
310410,42984,1298,GSM/UMTS,A7E8,512
310410,42984,1299,GSM/UMTS,A7E8,513
310410,42984,1301,GSM/UMTS,A7E8,515
310410,42984,1302,GSM/UMTS,A7E8,516
310410,42984,1303,GSM/UMTS,A7E8,517
310410,42984,1307,GSM/UMTS,A7E8,51B
310410,42984,1308,GSM/UMTS,A7E8,51C
310410,42984,1309,GSM/UMTS,A7E8,51D
310410,42984,1311,GSM/UMTS,A7E8,51F
310410,42984,1312,GSM/UMTS,A7E8,520
310410,42984,1313,GSM/UMTS,A7E8,521
310410,42984,1317,GSM/UMTS,A7E8,525
310410,42984,1318,GSM/UMTS,A7E8,526
310410,42984,1319,GSM/UMTS,A7E8,527
310410,42984,1321,GSM/UMTS,A7E8,529
310410,42984,1322,GSM/UMTS,A7E8,52A
310410,42984,1323,GSM/UMTS,A7E8,52B
310410,42984,1331,GSM/UMTS,A7E8,533
310410,42984,1332,GSM/UMTS,A7E8,534
310410,42984,1333,GSM/UMTS,A7E8,535
310410,42984,1337,GSM/UMTS,A7E8,539
310410,42984,1338,GSM/UMTS,A7E8,53A
310410,42984,1339,GSM/UMTS,A7E8,53B
310410,42984,1341,GSM/UMTS,A7E8,53D
310410,42984,1342,GSM/UMTS,A7E8,53E
310410,42984,1343,GSM/UMTS,A7E8,53F
310410,42984,1347,GSM/UMTS,A7E8,543
310410,42984,1348,GSM/UMTS,A7E8,544
310410,42984,1349,GSM/UMTS,A7E8,545
310410,42984,1351,GSM/UMTS,A7E8,547
310410,42984,1352,GSM/UMTS,A7E8,548
310410,42984,1353,GSM/UMTS,A7E8,549
310410,42984,1357,GSM/UMTS,A7E8,54D
310410,42984,1358,GSM/UMTS,A7E8,54E
310410,42984,1359,GSM/UMTS,A7E8,54F
310410,42984,1361,GSM/UMTS,A7E8,551
310410,42984,1363,GSM/UMTS,A7E8,553
310410,42984,1367,GSM/UMTS,A7E8,557
310410,42984,1369,GSM/UMTS,A7E8,559
310410,42984,1381,GSM/UMTS,A7E8,565
310410,42984,1382,GSM/UMTS,A7E8,566
310410,42984,1383,GSM/UMTS,A7E8,567
310410,42984,1387,GSM/UMTS,A7E8,56B
310410,42984,1388,GSM/UMTS,A7E8,56C
310410,42984,1389,GSM/UMTS,A7E8,56D
310410,42984,1391,GSM/UMTS,A7E8,56F
310410,42984,1392,GSM/UMTS,A7E8,570
310410,42984,1393,GSM/UMTS,A7E8,571
310410,42984,1431,GSM/UMTS,A7E8,597
310410,42984,1432,GSM/UMTS,A7E8,598
310410,42984,1433,GSM/UMTS,A7E8,599
310410,42984,1437,GSM/UMTS,A7E8,59D
310410,42984,1438,GSM/UMTS,A7E8,59E
310410,42984,1439,GSM/UMTS,A7E8,59F
310410,26501,14801,GSM/UMTS,6785,39D1
310410,26501,14802,GSM/UMTS,6785,39D2
310410,26501,14803,GSM/UMTS,6785,39D3
310410,64508,15006,GSM/UMTS,FBFC,3A9E
310410,64508,15242,GSM/UMTS,FBFC,3B8A
310410,64508,15243,GSM/UMTS,FBFC,3B8B
310410,64508,15244,GSM/UMTS,FBFC,3B8C
310410,64508,15245,GSM/UMTS,FBFC,3B8D
310410,64508,15246,GSM/UMTS,FBFC,3B8E
310410,64508,15247,GSM/UMTS,FBFC,3B8F
